,probability,baseline-wer,wer,wer-improvement,wer-normalised,dataset_encoded,ops_del,ops_ins,ops_sub
23,1,0.1003087433488799,0.025822170997235,74.25730785259276,0.924792844950387,0,0,1,0
24,2,0.1991448774872553,0.1034016961495994,48.077149935118555,0.8208055833536978,2,0,1,0
25,2,0.1960679177837354,0.1102770330652368,43.7556973564266,0.8036408274651098,1,0,1,0
26,2,0.2002848674934538,0.0175668287629844,91.22907837080673,0.9922045063391265,3,0,1,0
27,2,0.2004323601249305,0.0287065624384155,85.67768077942975,0.9701544241592768,0,0,1,0
28,3,0.2957102920102427,0.118002208283412,60.0953326713009,0.8685416556892301,2,0,1,0
29,3,0.3077747989276139,0.1451295799821269,52.84552845528455,0.8397455235225679,1,0,1,0
30,3,0.3008085632895002,0.0207895721232699,93.0887698488617,0.9995911777575046,3,0,1,0
31,3,0.2993138373155453,0.0334840223823998,88.81307236487702,0.9826081605359525,0,0,1,0
32,4,0.3942373199896634,0.1319214414922357,66.53755623752348,0.8941300875603002,2,0,1,0
33,4,0.3864164432529043,0.1537086684539767,60.22201665124886,0.8690448428817781,1,0,1,0
34,4,0.4043967427272465,0.0340114522487267,91.58958303685783,0.9936364263884117,3,0,1,0
35,4,0.3995150878156856,0.0400351143305882,89.97907324364725,0.9872395015226972,0,0,1,0
36,5,0.4952780322785256,0.1305001527004487,73.65113245582829,0.922385123814574,2,0,1,0
37,5,0.5077747989276139,0.1697944593386952,66.56107004575856,0.8942234841141248,1,0,1,0
38,5,0.5031508071245648,0.0342560354501769,93.19169621411416,1.0,3,0,1,0
39,5,0.5011615199488811,0.0405666067493565,91.90548253714803,0.9948911752741322,0,0,1,0
40,1,0.0408532431226067,0.0838325463387131,-105.20414031052337,0.21197420514368387,2,0,0,1
41,1,0.0375335120643431,0.0970509383378016,-158.57142857142898,0.0,1,0,0,1
42,1,0.0481397289442638,0.0592466837395332,-23.072325164375226,0.5382007532774095,3,0,0,1
43,1,0.0385481299230231,0.0346724155434659,10.054221533694705,0.6697789847054146,0,0,0,1
44,2,0.0824817346770972,0.0812366387107383,1.5095414411848258,0.6358396216641098,2,0,0,1
45,2,0.0795352993744414,0.0945487042001787,-18.87640449438209,0.5548668979861205,1,0,0,1
46,2,0.0944378902540787,0.0802664518171093,15.00609384521627,0.6894477599310942,3,0,0,1
47,2,0.0764751900533284,0.0351382178880044,54.052787755739494,0.8445407424470364,0,0,0,1
48,3,0.1214908262268893,0.1103319472831066,9.184956008894877,0.6663262728535885,2,0,0,1
49,3,0.1238605898123324,0.1311885612153708,-5.916305916305905,0.6063442483292887,1,0,0,1
50,3,0.1385348027508416,0.1201479009006416,13.272406272717843,0.6825615744582406,3,0,0,1
51,3,0.1145336303320931,0.0447050814258329,60.967725116012296,0.8720067876280496,0,0,0,1
52,4,0.1618507294382972,0.139321540160218,13.919732926917744,0.6851327478767121,2,0,0,1
53,4,0.1699731903485254,0.1537086684539767,9.568874868559405,0.6678511937886601,1,0,0,1
54,4,0.1886455845538514,0.1528645009063965,18.967358145210497,0.705181852457029,3,0,0,1
55,4,0.1524069440380285,0.0550602258544188,63.87288899337802,0.8835460624119975,0,0,0,1
56,5,0.2036319214414922,0.1621796227124298,20.356483617904928,0.7106994415554235,2,0,0,1
57,5,0.2039320822162645,0.167828418230563,17.703768624014018,0.7001628905964594,1,0,0,1
58,5,0.2332892124420913,0.1845020573763416,20.9127351218008,0.7129088656097591,3,0,0,1
59,5,0.1901608212453643,0.0602258544188518,68.32898910278556,0.9012456366177248,0,0,0,1
