sub,del,ins,hit,wer
5,7,0,25,0.32432432432432434
1,2,0,10,0.23076923076923078
0,1,0,3,0.25
0,1,0,8,0.1111111111111111
1,1,0,1,0.6666666666666666
1,0,0,6,0.14285714285714285
10,1,0,7,0.6111111111111112
2,0,0,10,0.16666666666666666
0,0,1,4,0.25
1,0,0,9,0.1
6,1,2,10,0.5294117647058824
4,0,2,7,0.5454545454545454
9,0,4,3,1.0833333333333333
1,1,0,1,0.6666666666666666
1,2,0,1,0.75
0,0,0,5,0.0
3,0,0,0,1.0
0,0,0,8,0.0
2,1,1,24,0.14814814814814814
14,6,3,45,0.35384615384615387
