sub,del,ins,hit,wer
1,0,0,45,0.021739130434782608
6,7,0,9,0.5909090909090909
9,5,4,94,0.16666666666666666
6,0,1,5,0.6363636363636364
2,0,0,11,0.15384615384615385
6,0,0,12,0.3333333333333333
1,3,1,8,0.4166666666666667
6,1,4,62,0.15942028985507245
6,5,0,22,0.3333333333333333
5,2,0,13,0.35
4,2,4,17,0.43478260869565216
0,0,1,4,0.25
0,0,0,13,0.0
18,4,6,61,0.3373493975903614
1,0,0,15,0.0625
0,2,0,8,0.2
2,0,0,11,0.15384615384615385
3,1,0,6,0.4
2,0,5,12,0.5
5,2,1,15,0.36363636363636365
0,0,0,10,0.0
10,2,0,22,0.35294117647058826
3,0,1,7,0.4
0,3,0,3,0.5
2,0,1,7,0.3333333333333333
3,0,1,3,0.6666666666666666
